ipcphase,livelihoodsystem,season,fcspoor,fcs_acceptable,hddscrisis34,hhscrisis,livcopcrisis,populationgroup,rcsicrisis,ipc_phase_num,ipc_score,expected_min,expected_max,population_type,behavioral_stress,behavioral_level,crisis_trigger,trigger_type,ipc_gap_score,gap_status,mismatch_type,donor_action,policy_typology,data_confidence
Crisis,IDPs,Gu,35.5,36.1,35,47.1,52.1,Dhusamareb IDPs,56.1,3,65,35,49,IDPs,45,High,1,Hunger trigger,-4,IPC and household evidence aligned,Visible food consumption crisis,Maintain response and monitoring,Hunger hotspot,High
Crisis,Pastoral,Gu,3.2,66.59999999999999,10.1,67.8,39.7,Addun Pastoral,44.2,3,65,35,49,Pastoral,33,Moderate,1,Hunger trigger,-16,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Hunger hotspot,High
Crisis,Urban,Gu,18.1,57,28.5,27.6,27.1,Dhusamareb Urban,41.2,3,65,35,49,Urban,29,Moderate,1,rCSI coping trigger,-20,Official IPC more severe than household signals,Visible food consumption crisis,Verify possible improvement and retargeting,Coping collapse zone,High
Stressed,Pastoral,Gu,2.4,67.09999999999999,4.8,82.40000000000001,27.8,Hawd Pastoral,17.3,2,40,20,34,Pastoral,27,Moderate,1,Hunger trigger,-7,IPC and household evidence aligned,Hidden vulnerability: acceptable consumption but severe coping,Routine monitoring and early warning follow-up,Hunger hotspot,High
Emergency,IDPs,Gu,3.7,78.3,29.8,52.9,25.7,Kismayo IDPs,21.3,4,85,50,69,IDPs,27,Moderate,1,Hunger trigger,-42,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Emergency response priority,High
Crisis,Pastoral,Gu,41.3,31.8,45.3,23.5,5,Coastal Deeh Pastoral & Fishing,0,3,65,35,49,Pastoral,23,Moderate,0,No severe trigger,-26,Official IPC more severe than household signals,Visible food consumption crisis,Verify possible improvement and retargeting,Diet quality collapse zone,High
Crisis,IDPs,Gu,28.5,12,49.2,17.4,21.5,Bossaso IDPs,0,3,65,35,49,IDPs,23,Moderate,0,No severe trigger,-26,Official IPC more severe than household signals,Visible food consumption crisis,Verify possible improvement and retargeting,Diet quality collapse zone,High
Crisis,Pastoral,Gu,37.5,33,39,8.699999999999999,22.3,"East Golis - Frankincense, Goats & Fishing",2.7,3,65,35,49,Pastoral,22,Moderate,0,No severe trigger,-27,Official IPC more severe than household signals,Visible food consumption crisis,Verify possible improvement and retargeting,Diet quality collapse zone,High
Minimal,Pastoral,Gu,0,99.2,.8,74.09999999999999,13.1,Gedo Pastoral,14.3,1,20,0,19,Pastoral,20,Moderate,1,Hunger trigger,1,Hidden vulnerability: stress exceeds IPC expectation,Hidden vulnerability: acceptable consumption but severe coping,Immediate field verification and scale-up review,Hunger hotspot,High
Crisis,IDPs,Gu,45.8,35,14.8,18.3,9.1,Hargeisa IDPs,12.2,3,65,35,49,IDPs,20,Moderate,0,No severe trigger,-29,Official IPC more severe than household signals,Diet concern without severe coping,Verify possible improvement and retargeting,Food consumption deficit zone,High
Famine,Riverine,Gu,1.1,96.8,3.9,51.6,23.1,Gedo Riverine,7.8,5,100,70,100,Riverine,18,Low,1,Hunger trigger,-82,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Famine or catastrophic priority,High
Emergency,Combined,Gu,2,91,2.5,41.4,15.2,Beletweyne Rural (Riverine & AP),26.2,4,85,50,69,Other,17,Low,1,Hunger trigger,-52,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Emergency response priority,High
Emergency,IDPs,Gu,0,100,5.4,57.2,4.9,Beletweyne IDPs,12,4,85,50,69,IDPs,16,Low,1,Hunger trigger,-53,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Emergency response priority,High
Crisis,Agropastoral,Gu,2.5,68.09999999999999,.7,31.9,30.2,Bay Bakool Low Potential Agropastoral,12.3,3,65,35,49,Agropastoral,16,Low,1,Hunger trigger,-33,Official IPC more severe than household signals,Hidden vulnerability: acceptable consumption but severe coping,Verify possible improvement and retargeting,Hunger hotspot,High
